NT_ref	NT_text	reuse_label	Ps_ref	Ps_text
Lk 23:49	stabant autem omnes noti eius a longe et mulieres quae secutae erant eum a Galilaea haec videntes	quotation	Ps 37:12	amici mei et proximi mei adversus me adpropinquaverunt et steterunt  et qui iuxta me erant de longe steterunt
Lk 24:32	et dixerunt ad invicem nonne cor nostrum ardens erat in nobis dum loqueretur in via et aperiret nobis scripturas	echo	Ps 38:4	concaluit cor meum intra me et in meditatione mea exardescet ignis
Mk 1:6	et erat Iohannes vestitus pilis cameli  et zona pellicia circa lumbos eius  et lucustas et mel silvestre edebat	coincidence	Ps 80:17	et cibavit illos ex adipe frumenti et de petra melle saturavit illos
Mk 1:11	et vox facta est de caelis tu es Filius meus dilectus in te conplacui	echo	Ps 2:7	Dominus dixit ad me filius meus es tu ego hodie genui te
Mk 1:13	et erat in deserto quadraginta diebus et quadraginta noctibus et temptabatur a Satana eratque cum bestiis et angeli ministrabant illi	echo	Ps 90:11-12	quoniam angelis suis mandabit de te ut custodiant te in omnibus viis tuis in manibus portabunt te ne forte offendas ad lapidem pedem tuum
Mk 1:24	dicens  quid nobis et tibi Iesu Nazarene venisti perdere nos scio qui sis Sanctus Dei	echo	Ps 105:16	et inritaverunt Mosen in castris Aaron sanctum Domini
Mk 2:7	quid hic sic loquitur blasphemat quis potest dimittere peccata nisi solus Deus	echo	Ps 102:3	qui propitiatur omnibus iniquitatibus tuis qui sanat omnes infirmitates tuas
Mk 3:21	et cum audissent sui exierunt tenere eum dicebant enim quoniam in furorem versus est	echo	Ps 68:9	extraneus factus sum fratribus meis et peregrinus filiis matris meae
Mk 4:32	et cum seminatum fuerit ascendit et fit maius omnibus holeribus et facit ramos magnos ita ut possint sub umbra eius aves caeli habitare	echo	Ps 103:12	super ea volucres caeli habitabunt de medio petrarum dabunt vocem
Mk 4:37	et facta est procella magna venti et fluctus mittebat in navem ita ut impleretur navis	echo	Ps 106:25	dixit et stetit spiritus procellae et exaltati sunt fluctus eius
Mk 4:39	et exsurgens comminatus est vento et dixit mari tace obmutesce et cessavit ventus et facta est tranquillitas magna	echo	Ps 64:8	qui conturbas profundum maris sonum fluctuum eius  turbabuntur gentes
Mk 4:39	et exsurgens comminatus est vento et dixit mari tace obmutesce et cessavit ventus et facta est tranquillitas magna	echo	Ps 88:10	tu dominaris potestatis maris motum autem fluctuum eius tu mitigas
Mk 4:39	et exsurgens comminatus est vento et dixit mari tace obmutesce et cessavit ventus et facta est tranquillitas magna	echo	Ps 105:9	et increpuit mare Rubrum et exsiccatum est et deduxit eos in abyssis sicut in deserto
Mk 4:39	et exsurgens comminatus est vento et dixit mari tace obmutesce et cessavit ventus et facta est tranquillitas magna	echo	Ps 106:25-30	dixit et stetit spiritus procellae et exaltati sunt fluctus eius ascendunt usque ad caelos et descendunt usque ad abyssos anima eorum in malis tabescebat turbati sunt et moti sunt sicut ebrius et omnis sapientia eorum devorata est et clamaverunt ad Dominum cum tribularentur et de necessitatibus eorum eduxit eos et statuit procellam eius in auram et siluerunt fluctus eius et laetati sunt quia siluerunt et deduxit eos in portum voluntatis eorum
Mk 6:41	et acceptis quinque panibus et duobus piscibus intuens in caelum benedixit et fregit panes et dedit discipulis suis ut ponerent ante eos et duos pisces divisit omnibus	echo	Ps 122:1	canticum graduum  ad te levavi oculos meos qui habitas in caelo
Mk 7:6	at ille respondens dixit eis bene prophetavit Esaias de vobis hypocritis sicut scriptum est populus hic labiis me honorat cor autem eorum longe est a me	echo	Ps 77:36	et dilexerunt eum in ore suo et lingua sua mentiti sunt ei
Mk 8:37	aut quid dabit homo commutationem pro anima sua	echo	Ps 48:8-9	frater non redimit redimet homo non dabit Deo placationem suam et pretium redemptionis animae suae  et laboravit in aeternum
Mk 9:7	et statim circumspicientes neminem amplius viderunt nisi Iesum tantum secum	echo	Ps 2:7	Dominus dixit ad me filius meus es tu ego hodie genui te
Mk 9:12	sed dico vobis quia et Helias venit et fecerunt illi quaecumque voluerunt sicut scriptum est de eo	echo	Ps 21:7-15	ego autem sum vermis et non homo obprobrium hominum et abiectio plebis omnes videntes me deriserunt me locuti sunt labiis moverunt caput speravit in Domino eripiat eum salvum faciat eum quoniam vult eum quoniam tu es qui extraxisti me de ventre spes mea ab uberibus matris meae in te proiectus sum ex utero de ventre matris meae Deus meus es tu ne discesseris a me quoniam tribulatio proxima est quoniam non est qui adiuvet circumdederunt me vituli multi tauri pingues obsederunt me aperuerunt super me os suum sicut leo rapiens et rugiens sicut aqua effusus sum et dispersa sunt universa ossa mea  factum est cor meum tamquam cera liquescens in medio ventris mei
Mk 11:10	benedictum quod venit regnum patris nostri David osanna in excelsis	echo	Ps 148:1	alleluia   laudate Dominum de caelis laudate eum in excelsis
Mk 11:9-10	et qui praeibant et qui sequebantur clamabant dicentes osanna benedictus qui venit in nomine Domini benedictum quod venit regnum patris nostri David osanna in excelsis	quotation	Ps 117:26	benedictus qui venturus est in nomine Domini  benediximus vobis de domo Domini
Mk 12:36	ipse enim David dicit in Spiritu Sancto dixit Dominus Domino meo sede a dextris meis donec ponam inimicos tuos scabillum pedum tuorum	quotation	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Mk 12:1	et coepit illis in parabolis loqui vineam pastinavit homo et circumdedit sepem et fodit lacum et aedificavit turrem et locavit eam agricolis et peregre profectus est	echo	Ps 79:9-10	vineam de Aegypto transtulisti eiecisti gentes et plantasti eam dux itineris fuisti in conspectu eius et plantasti radices eius et implevit terram
Mk 12:10-11	nec scripturam hanc legistis lapidem quem reprobaverunt aedificantes hic factus est in caput anguli a Domino factum est istud et est mirabile in oculis nostris	quotation	Ps 117:22-23	lapidem quem reprobaverunt aedificantes hic factus est in caput anguli a Domino factum est istud hoc est mirabile in oculis nostris
Mk 14:18	et discumbentibus eis et manducantibus ait Iesus amen dico vobis quia unus ex vobis me tradet qui manducat mecum	echo	Ps 40:10	etenim homo pacis meae in quo speravi qui edebat panes meos magnificavit super me subplantationem
Mk 14:34	et ait illis tristis est anima mea usque ad mortem sustinete hic et vigilate	echo	Ps 41:6	quare tristis es anima mea et quare conturbas me  spera in Deo quoniam confitebor illi salutare vultus mei
Mk 14:34	et ait illis tristis est anima mea usque ad mortem sustinete hic et vigilate	echo	Ps 41:12	quare tristis es anima mea et quare conturbas me  spera in Deum quoniam adhuc confitebor illi salutare vultus mei et Deus meus
Mk 14:34	et ait illis tristis est anima mea usque ad mortem sustinete hic et vigilate	echo	Ps 42:5	quare tristis es anima mea et quare conturbas me  spera in Deum quoniam adhuc confitebor illi salutare vultus mei et Deus meus
Mk 14:38	vigilate et orate ut non intretis in temptationem spiritus quidem promptus caro vero infirma	echo	Ps 50:14	redde mihi laetitiam salutaris tui et spiritu principali confirma me
Mk 14:56	multi enim testimonium falsum dicebant adversus eum et convenientia testimonia non erant	echo	Ps 26:12	ne tradideris me in animas tribulantium me quoniam insurrexerunt in me testes iniqui et mentita est iniquitas sibi
Mk 14:56	multi enim testimonium falsum dicebant adversus eum et convenientia testimonia non erant	echo	Ps 34:11	surgentes testes iniqui quae ignorabam interrogabant me
Mk 14:61	ille autem tacebat et nihil respondit rursum summus sacerdos interrogabat eum et dicit ei tu es Christus Filius Benedicti	echo	Ps 37:14-16	ego autem tamquam surdus non audiebam et sicut mutus non aperiens os suum et factus sum sicut homo non audiens et non habens in ore suo redargutiones quoniam in te Domine speravi tu exaudies Domine Deus meus
Mk 14:61	ille autem tacebat et nihil respondit rursum summus sacerdos interrogabat eum et dicit ei tu es Christus Filius Benedicti	echo	Ps 38:9-10	ab omnibus iniquitatibus meis erue me obprobrium insipienti dedisti me obmutui et non aperui os meum quoniam tu fecisti
Mk 14:62	Iesus autem dixit illi ego sum et videbitis Filium hominis a dextris sedentem Virtutis et venientem cum nubibus caeli	echo	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Mk 15:23	et dabant ei bibere murratum vinum et non accepit	echo	Ps 68:22	et dederunt in escam meam fel et in siti mea potaverunt me aceto
Mk 15:24	et crucifigentes eum diviserunt vestimenta eius mittentes sortem super eis quis quid tolleret	quotation	Ps 21:19	diviserunt sibi vestimenta mea et super vestem meam miserunt sortem
Mk 15:29	et praetereuntes blasphemabant eum moventes capita sua et dicentes va qui destruit templum et in tribus diebus aedificat	echo	Ps 108:25	et ego factus sum obprobrium illis viderunt me moverunt capita sua
Mk 15:29	et praetereuntes blasphemabant eum moventes capita sua et dicentes va qui destruit templum et in tribus diebus aedificat	echo	Ps 21:8	omnes videntes me deriserunt me locuti sunt labiis moverunt caput
Mk 15:30	salvum fac temet ipsum descendens de cruce	echo	Ps 21:9	speravit in Domino eripiat eum salvum faciat eum quoniam vult eum
Mk 15:34	et hora nona exclamavit Iesus voce magna dicens Heloi Heloi lama sabacthani quod est interpretatum Deus meus Deus meus ut quid dereliquisti me	quotation	Ps 21:2	Deus Deus meus respice me quare me dereliquisti longe a salute mea verba delictorum meorum
Mk 15:36	currens autem unus et implens spongiam aceto circumponensque calamo potum dabat ei dicens sinite videamus si veniat Helias ad deponendum eum	echo	Ps 68:22	et dederunt in escam meam fel et in siti mea potaverunt me aceto
Mk 16:19	et Dominus quidem postquam locutus est eis adsumptus est in caelum et sedit a dextris Dei	echo	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Mt 1:21	pariet autem filium et vocabis nomen eius Iesum ipse enim salvum faciet populum suum a peccatis eorum	echo	Ps 129:8	et ipse redimet Israhel ex omnibus iniquitatibus eius
Mt 2:11	et intrantes domum invenerunt puerum cum Maria matre eius et procidentes adoraverunt eum et apertis thesauris suis obtulerunt ei munera aurum tus et murram	echo	Ps 71:15	et vivet et dabitur ei de auro Arabiae et orabunt de ipso semper tota die benedicent ei
Mt 2:11	et intrantes domum invenerunt puerum cum Maria matre eius et procidentes adoraverunt eum et apertis thesauris suis obtulerunt ei munera aurum tus et murram	echo	Ps 71:10-11	reges Tharsis et insulae munera offerent reges Arabum et Saba dona adducent et adorabunt eum omnes reges omnes gentes servient ei
Mt 3:17	et ecce vox de caelis dicens hic est Filius meus dilectus in quo mihi conplacui	echo	Ps 2:7	Dominus dixit ad me filius meus es tu ego hodie genui te
Mt 4:6	et dixit ei si Filius Dei es mitte te deorsum scriptum est enim quia angelis suis mandabit de te et in manibus tollent te ne forte offendas ad lapidem pedem tuum	quotation	Ps 90:11-12	quoniam angelis suis mandabit de te ut custodiant te in omnibus viis tuis in manibus portabunt te ne forte offendas ad lapidem pedem tuum
Mt 4:8-9	iterum adsumit eum diabolus in montem excelsum valde et ostendit ei omnia regna mundi et gloriam eorum et dixit illi haec tibi omnia dabo si cadens adoraveris me	echo	Ps 2:8	postula a me et dabo tibi gentes hereditatem tuam et possessionem tuam terminos terrae
Mt 5:3	beati pauperes spiritu quoniam ipsorum est regnum caelorum	echo	Ps 33:19	iuxta est Dominus his qui tribulato sunt corde et humiles spiritu salvabit
Mt 5:5	beati qui lugent quoniam ipsi consolabuntur	quotation	Ps 36:11	mansueti autem hereditabunt terram et delectabuntur in multitudine pacis
Mt 5:6	beati qui esuriunt et sitiunt iustitiam quoniam ipsi saturabuntur	echo	Ps 106:5	esurientes et sitientes anima eorum in ipsis defecit
Mt 5:8	beati mundo corde quoniam ipsi Deum videbunt	echo	Ps 23:4-5	innocens manibus et mundo corde qui non accepit in vano animam suam nec iuravit  in dolo  proximo suo hic accipiet benedictionem a Domino et misericordiam a Deo salvatore suo
Mt 5:8	beati mundo corde quoniam ipsi Deum videbunt	echo	Ps 72:1	psalmus Asaph  quam bonus Israhel Deus his qui recto sunt corde
Mt 5:34	ego autem dico vobis non iurare omnino neque per caelum quia thronus Dei est	echo	Ps 10:4	quoniam quae perfecisti destruxerunt iustus autem quid fecit
Mt 5:35	neque per terram quia scabillum est pedum eius neque per Hierosolymam quia civitas est magni Regis	echo	Ps 47:3	fundatur exultatione universae terrae montes Sion latera aquilonis civitas regis magni
Mt 5:35	neque per terram quia scabillum est pedum eius neque per Hierosolymam quia civitas est magni Regis	echo	Ps 98:5	exaltate Dominum Deum nostrum et adorate scabillum pedum eius quoniam sanctum est
Mt 5:35	neque per terram quia scabillum est pedum eius neque per Hierosolymam quia civitas est magni Regis	echo	Ps 102:19	Dominus in caelo paravit sedem suam et regnum ipsius omnibus dominabitur
Mt 6:13	et ne inducas nos in temptationem sed libera nos a malo	echo	Ps 17:30	quoniam in te eripiar a temptatione et in Deo meo transgrediar murum
Mt 6:28	et de vestimento quid solliciti estis considerate lilia agri quomodo crescunt non laborant nec nent	echo	Ps 102:15	homo sicut faenum dies eius tamquam flos agri sic efflorebit
Mt 6:30	si autem faenum agri quod hodie est et cras in clibanum mittitur Deus sic vestit quanto magis vos minimae fidei	echo	Ps 90:5-7	scuto circumdabit te veritas eius  non timebis a timore nocturno a sagitta volante in die  a negotio perambulante in tenebris ab incursu et daemonio meridiano cadent a latere tuo mille et decem milia a dextris tuis ad te autem non adpropinquabit
Mt 6:34	nolite ergo esse solliciti in crastinum crastinus enim dies sollicitus erit sibi ipse sufficit diei malitia sua	echo	Ps 36:4	delectare in Domino et dabit tibi petitiones cordis tui
Mt 6:34	nolite ergo esse solliciti in crastinum crastinus enim dies sollicitus erit sibi ipse sufficit diei malitia sua	echo	Ps 36:25	iunior fui et senui et non vidi iustum derelictum nec semen eius quaerens panes
Mt 7:23	et tunc confitebor illis quia numquam novi vos discedite a me qui operamini iniquitatem	quotation	Ps 6:9	discedite a me omnes qui operamini iniquitatem quoniam exaudivit Dominus vocem fletus mei
Mt 8:20	et dicit ei Iesus vulpes foveas habent et volucres caeli tabernacula Filius autem hominis non habet ubi caput reclinet	echo	Ps 83:4	etenim passer invenit sibi domum et turtur nidum sibi ubi ponat pullos suos  altaria tua Domine virtutum rex meus et Deus meus
Mt 8:26	et dicit eis quid timidi estis modicae fidei tunc surgens imperavit ventis et mari et facta est tranquillitas magna	echo	Ps 64:8	qui conturbas profundum maris sonum fluctuum eius  turbabuntur gentes
Mt 8:26	et dicit eis quid timidi estis modicae fidei tunc surgens imperavit ventis et mari et facta est tranquillitas magna	echo	Ps 106:28-29	et clamaverunt ad Dominum cum tribularentur et de necessitatibus eorum eduxit eos et statuit procellam eius in auram et siluerunt fluctus eius
Mt 8:26	et dicit eis quid timidi estis modicae fidei tunc surgens imperavit ventis et mari et facta est tranquillitas magna	echo	Ps 88:10	tu dominaris potestatis maris motum autem fluctuum eius tu mitigas
Mt 8:26	et dicit eis quid timidi estis modicae fidei tunc surgens imperavit ventis et mari et facta est tranquillitas magna	echo	Ps 106:25-27	dixit et stetit spiritus procellae et exaltati sunt fluctus eius ascendunt usque ad caelos et descendunt usque ad abyssos anima eorum in malis tabescebat turbati sunt et moti sunt sicut ebrius et omnis sapientia eorum devorata est
Mt 8:11	dico autem vobis quod multi ab oriente et occidente venient et recumbent cum Abraham et Isaac et Iacob in regno caelorum	quotation	Ps 106:3	a solis ortu et occasu et ab aquilone et mari
Mt 8:12	filii autem regni eicientur in tenebras exteriores ibi erit fletus et stridor dentium	echo	Ps 111:10	peccator videbit et irascetur   dentibus suis fremet et tabescet   desiderium peccatorum peribit
Mt 9:27	et transeunte inde Iesu secuti sunt eum duo caeci clamantes et dicentes miserere nostri Fili David	echo	Ps 85:3	miserere mei Domine quoniam ad te clamabo tota die
Mt 9:27	et transeunte inde Iesu secuti sunt eum duo caeci clamantes et dicentes miserere nostri Fili David	echo	Ps 21:9	speravit in Domino eripiat eum salvum faciat eum quoniam vult eum
Mt 11:25-26	in illo tempore respondens Iesus dixit confiteor tibi Pater Domine caeli et terrae quia abscondisti haec a sapientibus et prudentibus et revelasti ea parvulis ita Pater quoniam sic fuit placitum ante te	echo	Ps 135:26	confitemini Deo caeli quoniam in aeternum misericordia eius  confitemini Domino dominorum quoniam in aeternum misericordia eius
Mt 11:3	ait illi tu es qui venturus es an alium expectamus	echo	Ps 117:26	benedictus qui venturus est in nomine Domini  benediximus vobis de domo Domini
Mt 13:35	ut impleretur quod dictum erat per prophetam dicentem aperiam in parabolis os meum eructabo abscondita a constitutione mundi	quotation	Ps 77:2	aperiam in parabola os meum eloquar propositiones ab initio
Mt 13:41	mittet Filius hominis angelos suos et colligent de regno eius omnia scandala et eos qui faciunt iniquitatem	echo	Ps 140:9	custodi me a laqueo quem statuerunt mihi et ab scandalis operantium iniquitatem
Mt 13:49	sic erit in consummatione saeculi exibunt angeli et separabunt malos de medio iustorum	echo	Ps 1:5	ideo non resurgent impii in iudicio neque peccatores in consilio iustorum
Mt 13:32	quod minimum quidem est omnibus seminibus cum autem creverit maius est omnibus holeribus et fit arbor ita ut volucres caeli veniant et habitent in ramis eius	echo	Ps 103:12	super ea volucres caeli habitabunt de medio petrarum dabunt vocem
Mt 14:19	et cum iussisset turbam discumbere supra faenum acceptis quinque panibus et duobus piscibus aspiciens in caelum benedixit et fregit et dedit discipulis panes discipuli autem turbis	echo	Ps 122:1	canticum graduum  ad te levavi oculos meos qui habitas in caelo
Mt 14:25	quarta autem vigilia noctis venit ad eos ambulans supra mare	echo	Ps 76:20	in mari via tua et semitae tuae in aquis multis et vestigia tua non cognoscentur
Mt 14:30-31	videns vero ventum validum timuit et cum coepisset mergi clamavit dicens Domine salvum me fac et continuo Iesus extendens manum adprehendit eum et ait illi modicae fidei quare dubitasti	echo	Ps 17:17	misit de summo et accepit me adsumpsit me de aquis multis
Mt 14:30-31	videns vero ventum validum timuit et cum coepisset mergi clamavit dicens Domine salvum me fac et continuo Iesus extendens manum adprehendit eum et ait illi modicae fidei quare dubitasti	echo	Ps 68:2	salvum me fac Deus quoniam intraverunt aquae usque ad animam meam
Mt 14:30-31	videns vero ventum validum timuit et cum coepisset mergi clamavit dicens Domine salvum me fac et continuo Iesus extendens manum adprehendit eum et ait illi modicae fidei quare dubitasti	echo	Ps 68:15	eripe me de luto ut non infigar liberer ab his qui oderunt me et de profundis aquarum
Mt 14:30-31	videns vero ventum validum timuit et cum coepisset mergi clamavit dicens Domine salvum me fac et continuo Iesus extendens manum adprehendit eum et ait illi modicae fidei quare dubitasti	echo	Ps 143:7	emitte manum tuam de alto eripe me et libera me de aquis multis de manu filiorum alienorum
Mt 15:22	et ecce mulier Chananea a finibus illis egressa clamavit dicens ei miserere mei Domine Fili David filia mea male a daemonio vexatur	echo	Ps 6:3	miserere mei Domine quoniam infirmus sum sana me Domine quoniam conturbata sunt ossa mea
Mt 15:22	et ecce mulier Chananea a finibus illis egressa clamavit dicens ei miserere mei Domine Fili David filia mea male a daemonio vexatur	echo	Ps 9:14	miserere mei Domine vide humilitatem meam de inimicis meis
Mt 15:22	et ecce mulier Chananea a finibus illis egressa clamavit dicens ei miserere mei Domine Fili David filia mea male a daemonio vexatur	echo	Ps 26:7	exaudi Domine vocem meam qua clamavi miserere mei et exaudi me
Mt 15:25	at illa venit et adoravit eum dicens Domine adiuva me	echo	Ps 108:26	adiuva me Domine Deus meus salvum fac me secundum misericordiam tuam
Mt 15:25	at illa venit et adoravit eum dicens Domine adiuva me	echo	Ps 43:27	
Mt 15:25	at illa venit et adoravit eum dicens Domine adiuva me	echo	Ps 69:6	ego vero egenus et pauper Deus adiuva me  adiutor meus et liberator meus es tu Domine ne moreris
Mt 15:31	ita ut turbae mirarentur videntes mutos loquentes clodos ambulantes caecos videntes et magnificabant Deum Israhel	echo	Ps 40:14	benedictus Dominus Deus Israhel a saeculo et in saeculum fiat fiat
Mt 15:8-9	populus hic labiis me honorat cor autem eorum longe est a me sine causa autem colunt me docentes doctrinas mandata hominum	echo	Ps 77:36-37	et dilexerunt eum in ore suo et lingua sua mentiti sunt ei cor autem ipsorum non erat rectum cum eo nec fideles habiti sunt in testamento eius
Mt 16:1	et accesserunt ad eum Pharisaei et Sadducaei temptantes et rogaverunt eum ut signum de caelo ostenderet eis	echo	Ps 77:41	et conversi sunt et temptaverunt Deum et Sanctum Israhel exacerbaverunt
Mt 16:1	et accesserunt ad eum Pharisaei et Sadducaei temptantes et rogaverunt eum ut signum de caelo ostenderet eis	echo	Ps 77:56	et temptaverunt et exacerbaverunt Deum excelsum et testimonia eius non custodierunt
Mt 16:18	et ego dico tibi quia tu es Petrus et super hanc petram aedificabo ecclesiam meam et portae inferi non praevalebunt adversum eam	echo	Ps 9:14	miserere mei Domine vide humilitatem meam de inimicis meis
Mt 16:26	quid enim prodest homini si mundum universum lucretur animae vero suae detrimentum patiatur aut quam dabit homo commutationem pro anima sua	echo	Ps 48:8-9	frater non redimit redimet homo non dabit Deo placationem suam et pretium redemptionis animae suae  et laboravit in aeternum
Mt 16:27	Filius enim hominis venturus est in gloria Patris sui cum angelis suis et tunc reddet unicuique secundum opus eius	echo	Ps 61:13	et tibi Domine misericordia quia tu reddes unicuique iuxta opera sua
Mt 17:5	adhuc eo loquente ecce nubes lucida obumbravit eos et ecce vox de nube dicens hic est Filius meus dilectus in quo mihi bene conplacuit ipsum audite	echo	Ps 2:7	Dominus dixit ad me filius meus es tu ego hodie genui te
Mt 18:12	quid vobis videtur si fuerint alicui centum oves et erraverit una ex eis nonne relinquet nonaginta novem in montibus et vadit quaerere eam quae erravit	echo	Ps 118:176	erravi sicut ovis quae periit quaere servum tuum quia mandata tua non sum oblitus
Mt 20:25	Iesus autem vocavit eos ad se et ait scitis quia principes gentium dominantur eorum et qui maiores sunt potestatem exercent in eos	echo	Ps 9:26	non est Deus in conspectu eius inquinatae sunt viae illius in omni tempore  auferuntur iudicia tua a facie eius omnium inimicorum suorum dominabitur
Mt 20:25	Iesus autem vocavit eos ad se et ait scitis quia principes gentium dominantur eorum et qui maiores sunt potestatem exercent in eos	echo	Ps 9:31	in laqueo suo humiliabit eum inclinabit se et cadet cum dominatus fuerit pauperum
Mt 21:9	turbae autem quae praecedebant et quae sequebantur clamabant dicentes osanna Filio David benedictus qui venturus est in nomine Domini osanna in altissimis	quotation	Ps 117:25-26	o Domine salvum fac o Domine prosperare benedictus qui venturus est in nomine Domini  benediximus vobis de domo Domini
Mt 21:9	turbae autem quae praecedebant et quae sequebantur clamabant dicentes osanna Filio David benedictus qui venturus est in nomine Domini osanna in altissimis	quotation	Ps 148:1	alleluia   laudate Dominum de caelis laudate eum in excelsis
Mt 21:15	videntes autem principes sacerdotum et scribae mirabilia quae fecit et pueros clamantes in templo et dicentes osanna Filio David indignati sunt	echo	Ps 117:26	benedictus qui venturus est in nomine Domini  benediximus vobis de domo Domini
Mt 21:15	videntes autem principes sacerdotum et scribae mirabilia quae fecit et pueros clamantes in templo et dicentes osanna Filio David indignati sunt	echo	Ps 71:18	benedictus Dominus Deus Deus Israhel qui facit mirabilia solus
Mt 21:15	videntes autem principes sacerdotum et scribae mirabilia quae fecit et pueros clamantes in templo et dicentes osanna Filio David indignati sunt	echo	Ps 77:4	non sunt occultata a filiis eorum in generationem alteram narrantes laudes Domini et virtutes eius et mirabilia eius quae fecit
Mt 21:15	videntes autem principes sacerdotum et scribae mirabilia quae fecit et pueros clamantes in templo et dicentes osanna Filio David indignati sunt	echo	Ps 85:10	quoniam magnus es tu et faciens mirabilia tu es Deus solus
Mt 21:16	et dixerunt ei audis quid isti dicant Iesus autem dicit eis utique numquam legistis quia ex ore infantium et lactantium perfecisti laudem	quotation	Ps 8:3	ex ore infantium et lactantium perfecisti laudem propter inimicos tuos ut destruas inimicum et ultorem
Mt 21:42	dicit illis Iesus numquam legistis in scripturis lapidem quem reprobaverunt aedificantes hic factus est in caput anguli a Domino factum est istud et est mirabile in oculis nostris	quotation	Ps 117:22-23	lapidem quem reprobaverunt aedificantes hic factus est in caput anguli a Domino factum est istud hoc est mirabile in oculis nostris
Mt 22:16	et mittunt ei discipulos suos cum Herodianis dicentes magister scimus quia verax es et viam Dei in veritate doces et non est tibi cura de aliquo non enim respicis personam hominum	echo	Ps 24:9	diriget mansuetos in iudicio docebit mites vias suas
Mt 22:16	et mittunt ei discipulos suos cum Herodianis dicentes magister scimus quia verax es et viam Dei in veritate doces et non est tibi cura de aliquo non enim respicis personam hominum	echo	Ps 50:15	docebo iniquos vias tuas et impii ad te convertentur
Mt 22:43-44	ait illis quomodo ergo David in spiritu vocat eum Dominum dicens dixit Dominus Domino meo sede a dextris meis donec ponam inimicos tuos scabillum pedum tuorum	quotation	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Mt 23:37	Hierusalem Hierusalem quae occidis prophetas et lapidas eos qui ad te missi sunt quotiens volui congregare filios tuos quemadmodum gallina congregat pullos suos sub alas et noluisti	echo	Ps 35:8	quemadmodum multiplicasti misericordiam tuam Deus  filii autem hominum in tegmine alarum tuarum sperabunt
Mt 23:37	Hierusalem Hierusalem quae occidis prophetas et lapidas eos qui ad te missi sunt quotiens volui congregare filios tuos quemadmodum gallina congregat pullos suos sub alas et noluisti	echo	Ps 56:2	miserere mei Deus miserere mei quoniam in te confidit anima mea  et in umbra alarum tuarum sperabo donec transeat iniquitas
Mt 23:37	Hierusalem Hierusalem quae occidis prophetas et lapidas eos qui ad te missi sunt quotiens volui congregare filios tuos quemadmodum gallina congregat pullos suos sub alas et noluisti	echo	Ps 60:5	inhabitabo in tabernaculo tuo in saecula protegar in velamento alarum tuarum  diapsalma
Mt 23:38	ecce relinquitur vobis domus vestra deserta	echo	Ps 68:26	fiat habitatio eorum deserta et in tabernaculis eorum non sit qui inhabitet
Mt 23:39	dico enim vobis non me videbitis amodo donec dicatis benedictus qui venit in nomine Domini	quotation	Ps 117:26	benedictus qui venturus est in nomine Domini  benediximus vobis de domo Domini
Mt 24:47	amen dico vobis quoniam super omnia bona sua constituet eum	echo	Ps 104:21	constituit eum dominum domus suae et principem omnis possessionis suae
Mt 24:45-46	quis putas est fidelis servus et prudens quem constituit dominus suus supra familiam suam ut det illis cibum in tempore beatus ille servus quem cum venerit dominus eius invenerit sic facientem	echo	Ps 103:27	omnia a te expectant ut des illis escam in tempore
Mt 24:45-46	quis putas est fidelis servus et prudens quem constituit dominus suus supra familiam suam ut det illis cibum in tempore beatus ille servus quem cum venerit dominus eius invenerit sic facientem	echo	Ps 144:15	oculi omnium in te sperant et tu das escam illorum in tempore oportuno
Mt 26:38	tunc ait illis tristis est anima mea usque ad mortem sustinete hic et vigilate mecum	echo	Ps 41:6	quare tristis es anima mea et quare conturbas me  spera in Deo quoniam confitebor illi salutare vultus mei
Mt 26:38	tunc ait illis tristis est anima mea usque ad mortem sustinete hic et vigilate mecum	echo	Ps 41:12	quare tristis es anima mea et quare conturbas me  spera in Deum quoniam adhuc confitebor illi salutare vultus mei et Deus meus
Mt 26:38	tunc ait illis tristis est anima mea usque ad mortem sustinete hic et vigilate mecum	echo	Ps 42:5	quare tristis es anima mea et quare conturbas me  spera in Deum quoniam adhuc confitebor illi salutare vultus mei et Deus meus
Mt 26:38	tunc ait illis tristis est anima mea usque ad mortem sustinete hic et vigilate mecum	echo	Ps 21:15	sicut aqua effusus sum et dispersa sunt universa ossa mea  factum est cor meum tamquam cera liquescens in medio ventris mei
Mt 26:38	tunc ait illis tristis est anima mea usque ad mortem sustinete hic et vigilate mecum	echo	Ps 30:10	miserere mei Domine quoniam tribulor conturbatus est in ira oculus meus anima mea et venter meus
Mt 26:53	an putas quia non possum rogare Patrem meum et exhibebit mihi modo plus quam duodecim legiones angelorum	echo	Ps 90:11-12	quoniam angelis suis mandabit de te ut custodiant te in omnibus viis tuis in manibus portabunt te ne forte offendas ad lapidem pedem tuum
